word_decimal	rank	phase
16451684604845112	97014	0
16451684604845113	97013	0
16451684604845114	97011	0
16451684604845206	97009	0
16451684604976184	97004	0
16451684604976185	97003	0
16451684604976186	97002	0
16451684604976276	97000	0
16451684802023478	89109	0
16451686748132924	96992	0
16451753320127798	89108	0
16451812573361296	89139	0
16451812577294384	89107	0
16451812577294390	89106	0
16451812577294416	89105	0
16451821167228464	89104	0
16451822039604278	89103	0
16451822039642838	89102	0
16451822039773908	89100	0
16451822041701430	89098	0
16451822041701432	89097	0
16451822041701526	89096	0
16451822041832504	89095	0
16451822041832596	89094	0
16451822240968758	89093	0
16453763367049426	89092	0
16453763369146426	89091	0
16453763369146546	89090	0
16453763400603856	89087	0
16453763402700976	89050	0
16453874161473584	89038	0
16453874161473590	89037	0
16453874161473616	89027	0
16453882751407664	89026	0
16453883628231736	98510	0
16453883628231737	89025	0
16453883628231738	98509	0
16453883628231826	98507	0
16453883661786256	98497	0
16453883817021496	89024	0
16453883817021497	89023	0
16453883817021498	89022	0
16453883825147958	89021	0
16453885771519154	89017	0
16453885805073584	88968	0
16454011600418864	92898	1
16454011600418870	100067	0
16454011600418896	92898	1
16454020190352944	100061	0
16454021065088056	88967	0
16454021065088146	88966	0
16454021098642576	88957	0
16454021255966776	88956	0
16454021255966777	88955	0
16454021255966778	88954	0
16454021264093238	88953	0
16462266393343696	88915	0
16462266393351856	88876	0
16462269541651606	102736	0
16462269541651638	102733	0
16462269541651640	102721	0
16462269541652152	102708	0
16462535831238714	88810	0
16556824391767696	104278	0
16556824391767708	92898	1
16556824391767728	94372	0
16556843119154326	88803	0
16556979081483824	88801	0
16556980018878518	89267	0
16556980018878524	89266	0
16556980018878646	89261	0
16556980020975670	88797	0
16556980155224118	88762	0
16557117455734842	89249	0
16557117455734843	88761	0
16557117455734844	89248	0
16557117459929142	102404	0
16557117459952278	92898	1
16557117594169398	92898	1
16557237714820154	88757	0
16557237714866844	88749	0
16557237716917302	88745	0
16557237716963964	88737	0
16557237716964022	88733	0
16557237717048436	88729	0
16557237717095028	88726	0
16557237717095036	88697	0
16557237717095092	88693	0
16559178068940848	89693	0
16559178068940860	89692	0
16559178068940976	89687	0
16559178071038000	88689	0
16559178104608304	88684	0
16559179178348598	92898	1
16559315509991472	88678	0
16559315509998736	88673	0
16559316617293878	88667	0
16559317020185746	88661	0
16559317053740176	88654	0
16559435766979632	88648	0
16559435767010480	88538	0
16559436740303986	88532	0
16559436740350588	88519	0
16559436773858416	88511	0
16559436773904508	88502	0
16561515630194746	92898	1
16561515630194747	88501	0
16561515630194748	102108	0
16561634756680816	88497	0
16561634756712112	88480	0
16561635763428466	88465	0
16561635763475068	88457	0
16561635796982896	88415	0
16561635797028988	88401	0
16563438670738576	101729	0
16563438670738588	101727	0
16563438670738608	101722	0
16563438678602896	88398	0
16563440180663446	102095	0
16563440180663452	102093	0
16563440180663478	102089	0
16629552218542134	88397	0
16629552218546230	88396	0
16629552235323446	88395	0
16629620954800182	88394	0
16629620954800183	88393	0
16629621223235639	88392	0
16629689657487414	88391	0
16629758376964150	88390	0
16629758393741366	88389	0
16629758393745462	88388	0
16629758393745463	88387	0
16629758662180919	88386	0
16630720734863415	88385	0
16630720734863431	88384	0
16630858173808695	88383	0
16630858173808711	88382	0
16697720865855024	88381	0
16697720865859120	88380	0
16697720882636336	88379	0
16697789602113072	88378	0
16697789602113328	88377	0
16697828318693424	88376	0
16697828318693434	88374	0
16697828318693435	88372	0
16697897038170160	88371	0
16697897038170171	88369	0
16697897038170416	88368	0
16697897038170427	88366	0
16697897039218992	88365	0
16697897039219003	88363	0
16697901334186288	88362	0
16697901334186299	88360	0
16715381788157744	88359	0
16715381788223280	88358	0
16715381788223296	88357	0
16715493520230704	88356	0
16715493520230715	88354	0
16715493520296240	88353	0
16715493520296251	88351	0
16715493520296256	88350	0
16715493520296267	88348	0
16733043616389174	88347	0
16733043616412310	88343	0
16733043616412326	88340	0
16733112335865910	88339	0
16733112335866166	88338	0
16733112335889046	88335	0
16733112335889062	88332	0
16733112335893158	88329	0
16733228296838454	88328	0
16733228297887030	88327	0
16733232592854326	88326	0
16750704521910582	88325	0
16750704521910583	88324	0
16750704521933478	88321	0
16750704521937574	88318	0
16750704521937575	88315	0
16750704790346039	88314	0
16750704790373031	88311	0
16750704790411575	88310	0
16750704790411591	88309	0
16750704790438567	88306	0
16750824778898742	88305	0
16750824778898743	88304	0
16750825047334199	88303	0
16750825047399735	88302	0
16750825047399751	88301	0
16911014309318710	88284	0
16911280626651196	88257	0
16911418065596476	88229	0
16911426626154550	88220	0
16911426626154710	88210	0
16913625649410260	88190	0
16913625649541330	88178	0
16913625649541840	88175	0
16913626119164120	88174	0
16913626119557266	88173	0
16913626119557330	88172	0
16913626119557776	88169	0
16913626119557840	88164	0
16915275386638486	98379	0
16915825142419606	88163	0
16915825142419670	88148	0
16979182956631600	88144	0
16979303215716912	88140	0
16979303215716918	88136	0
16979303245068336	88129	0
16979303245068348	88127	0
16979303245068349	88125	0
16979303245068496	88124	0
16979303245076528	88117	0
16979303245076540	88111	0
16979303251359792	88106	0
16979303251359798	88104	0
16979440684030000	88103	0
16979440684030012	88102	0
16979442670244986	102498	0
16979442670245046	92898	1
16979449273964080	88101	0
16979449273964092	88100	0
16979578122975280	88099	0
16979578122975292	88098	0
16979578122975440	88097	0
16979580102685402	88093	0
16979580107101398	92898	1
16979586712909360	88092	0
16979586712909372	88091	0
16979586712909520	88090	0
